"","ensembl_id","BR-A-Control","BR-A-Mutant","BR-B-Control","BR-B-Mutant","BR-C-Control","BR-C-Mutant","external_gene_id.x","gene_biotype.x","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","TH-A-Control","TH-A-Mutant","TH-B-Control","TH-B-Mutant","TH-C-Control","TH-C-Mutant","external_gene_id.y","gene_biotype.y","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"11","ENSMUSG00000030772",69.8894821384332,58.3165468284728,114.832309829995,42.8147787746659,105.002617583958,36.0691778023695,"Dkk3","protein_coding",71.1541521596489,-1.07626193876197,0.275349954667006,-3.90870570530343,9.27919179543491e-05,0.0253051292921339,99.6942894891084,54.9703140933618,165.28031925363,54.9286293920811,132.560462030032,66.4209091761536,"Dkk3","protein_coding",95.6424872390611,-1.17538872461027,0.246315393918143,-4.77188496388043,1.82509740916057e-06,0.000499210608990412
"12","ENSMUSG00000032452",1359.29978304025,1104.19035388338,1762.15399084574,1137.3839057096,1645.04100881533,1222.34435885808,"Clstn2","protein_coding",1371.73556685873,-0.460529222419478,0.0920453106003902,-5.00328826548091,5.63605642729763e-07,0.000295103914533304,2079.8965493414,1473.72794450299,1937.04901630765,1402.87719467375,2168.14992981324,1750.44642182694,"Clstn2","protein_coding",1802.02450941099,-0.418180798652872,0.0863967515054812,-4.84023752474468,1.29684034608003e-06,0.000375967911046595
"13","ENSMUSG00000035133",1043.27777684908,888.132327928708,1081.51157258068,809.757772477377,1150.91104371436,926.777485199772,"Arhgap5","protein_coding",983.394663124994,-0.320102273618045,0.0843241158532614,-3.79609403999063,0.000146993757633461,0.0349845143167637,1463.16030750191,1260.82704547473,1506.5936793504,1169.97980605133,1671.60989407362,1346.81166606416,"Arhgap5","protein_coding",1403.16373308602,-0.295786414181948,0.0826088743270808,-3.58056463777504,0.000342852512748601,0.0445296843557884
"14","ENSMUSG00000036198",158.011003095588,47.8004482200596,283.948984306896,95.8678742128389,552.807898456718,67.1287475766321,"Arhgap36","protein_coding",200.927492644789,-2.23814755022984,0.576652794976672,-3.88127408681056,0.000103910650988369,0.0272038084287551,181.795469068374,58.4604927659562,136.220043340904,76.9000811489135,274.108074028202,103.207874258331,"Arhgap36","protein_coding",138.448672435113,-1.31164762638229,0.254955444107675,-5.14461509528835,2.68069862711641e-07,8.88186575739489e-05
"15","ENSMUSG00000036466",822.467528933445,495.212643559818,990.689654806045,420.701739264108,848.25644009001,471.905076247668,"Megf11","protein_coding",674.872180483516,-0.93956652100824,0.103505809303554,-9.07742789830037,1.11170828293762e-19,4.85075380788448e-16,1229.562903699,686.692653832948,1067.05700617041,685.509294813172,1118.90017103315,698.95233656137,"Megf11","protein_coding",914.44572768501,-0.721548409697498,0.0878260716281042,-8.21565164331685,2.1101520421681e-16,3.80647982273323e-13
"16","ENSMUSG00000036800",162.062567277526,72.6566812944907,200.434577157809,59.5683878604047,173.974925212636,124.23827909705,"Fam135b","protein_coding",132.155902983319,-1.06844157765555,0.229144949583929,-4.6627323866207,3.12038413831274e-06,0.00149380099366802,307.879423422246,130.88170022229,296.95969448317,65.9143552704973,347.128667519321,114.448335811218,"Fam135b","protein_coding",210.535362788124,-1.60163707205999,0.194731453420494,-8.22485039744191,1.95434638029257e-16,3.80647982273323e-13
"17","ENSMUSG00000037533",1927.53165955708,1366.1368101293,2164.06707525072,1584.14681466264,2040.34498089612,1569.00923440307,"Rapgef6","protein_coding",1775.20609581649,-0.440191039118808,0.0775610642435984,-5.67541257216748,1.38354792125343e-08,1.06533189936514e-05,2813.92019057983,2187.46948304854,2876.05918173761,2205.93375638598,3083.71583281727,2649.68334605794,"Rapgef6","protein_coding",2636.13029843786,-0.316902030763273,0.0797970888772864,-3.97134826873963,7.14670124641431e-05,0.0124759886812405
"18","ENSMUSG00000038718",2461.32524052743,1979.89456527487,2710.04251198787,1814.04356156139,3121.2542795545,1505.88817324893,"Pbx3","protein_coding",2265.40805535916,-0.645549851774701,0.0971740864992615,-6.6432304643235,3.06881417320986e-11,4.46341972525746e-08,3255.70272831588,2349.76279132418,3150.31553566397,2447.61972571113,3713.93972433293,1949.7091493554,"Pbx3","protein_coding",2811.17494245058,-0.584355185424521,0.0871528109196019,-6.70494937866762,2.01476199425604e-11,2.18064406511646e-08
"19","ENSMUSG00000039706",220.810247915629,137.665290873772,252.631081625988,110.75997117794,260.447669105306,132.253651942021,"Ldb2","protein_coding",185.761318773443,-0.947702051504182,0.161872977741991,-5.85460318778295,4.78150264980012e-09,3.91186685536773e-06,414.415477876294,272.233936462363,417.741466245438,223.010235331849,587.534929167007,240.137133175324,"Ldb2","protein_coding",359.178863043046,-0.943480889873918,0.150461292918147,-6.27058874462274,3.5968547565743e-10,2.53891030317321e-07
"20","ENSMUSG00000043410",238.029395688867,144.35735362458,216.093528498263,113.552239358897,191.475361476628,156.299770476934,"Hfm1","protein_coding",176.634608187361,-0.642118532479649,0.171318376729357,-3.74810072765309,0.000178178701002732,0.0376751327593236,333.291693292019,160.548218939342,272.440086681807,162.58874300056,266.244317806081,188.022265975573,"Hfm1","protein_coding",230.522554282564,-0.772116566455269,0.155836466456505,-4.95465909881094,7.24572094734819e-07,0.000217841258481848
"21","ENSMUSG00000045591",35.4511865919589,12.4281165372155,45.9329239319979,9.30756060318824,35.0008725279858,10.0192160562137,"Olig3","protein_coding",24.68997937476,-1.87356004138433,0.436669246038184,-4.29057017040422,1.78214961462824e-05,0.00686127601631873,51.8019347345367,17.450893362972,66.2937544259065,15.3800162297827,48.3059310787405,18.3934825410887,"Olig3","protein_coding",36.2710020621712,-1.70078724752908,0.371897451312607,-4.57326943630877,4.80172017375545e-06,0.00111365610029885
"22","ENSMUSG00000046607",366.666558465403,75.5247081876942,373.726971992164,72.5989727048683,259.418231678013,106.203690195866,"Hrk","protein_coding",209.023188870668,-1.97788056006632,0.187660559179947,-10.5396710353492,5.66968725882512e-26,3.71081031090104e-22,527.79329729528,205.047997014921,525.809367295888,121.94155725042,556.079904278524,215.612489787206,"Hrk","protein_coding",358.714102153707,-1.56257878421296,0.159321557630034,-9.8077046663169,1.04314304604188e-22,4.2338568381225e-19
"23","ENSMUSG00000050069",141.804746367835,98.4689233333228,117.964100098085,64.2221681619989,145.150677248412,56.107609914797,"Grem2","protein_coding",103.953037520742,-0.887103394244455,0.229895857165192,-3.85871848750639,0.000113983140476522,0.0292556727223072,204.275553953173,124.77388754525,249.73674612499,137.321573480203,247.146624123789,108.317174964189,"Grem2","protein_coding",178.595260031932,-0.921353943937577,0.17321658283709,-5.31908624940435,1.04289691067945e-07,3.78216417600753e-05
"24","ENSMUSG00000052397",199.539535960454,78.3927350808978,223.401039123808,105.175434816027,132.797428120887,116.222906252079,"Ezr","protein_coding",142.588179892359,-0.89113920350478,0.214146793136688,-4.16134741245447,3.16375358339092e-05,0.0098603653349017,275.625388587535,130.88170022229,354.17211268635,183.461622169551,278.601649012271,207.437608657833,"Ezr","protein_coding",238.363346889305,-0.806556734068225,0.17650106457962,-4.56969897597636,4.88425252753401e-06,0.0011168428138664
"25","ENSMUSG00000053007",140.791855322351,17.2081613592215,163.897024030083,38.1609984730718,171.916050358048,40.076864224855,"Creb5","protein_coding",95.3418256279384,-2.32148564592764,0.260308432744937,-8.91821145188313,4.73878969150652e-19,1.55076892654551e-15,319.608163362142,70.6761181200366,315.122366928624,37.3514679866151,392.06441736001,86.8581119995854,"Creb5","protein_coding",203.613440959502,-2.38740571887023,0.210534363454749,-11.3397436869415,8.3388333784406e-30,6.76904799494915e-26
"26","ENSMUSG00000053024",912.614831981569,522.936903527452,979.206423823045,600.337658905641,748.401009642521,516.991548500629,"Cntn2","protein_coding",713.41472939681,-0.686166372180208,0.108807476304311,-6.3062428749027,2.85890296822199e-10,2.87869537338661e-07,1046.79003963564,698.908279187029,1063.42447168132,794.267981009492,895.344815575725,751.067203761121,"Cntn2","protein_coding",874.967131808388,-0.424275691164654,0.0954036085613735,-4.44716607225309,8.70105689341081e-06,0.00178812226157626
"27","ENSMUSG00000054263",711.049513930146,494.256634595417,920.746338818684,458.86273773718,837.962065817073,580.112609654776,"Lifr","protein_coding",667.164983425546,-0.688391654475722,0.113748743354189,-6.05186162217389,1.43181440361367e-09,1.24949670288686e-06,1391.81047286755,821.937077395981,1494.78794226085,633.876383184616,1213.2652456986,954.417371854268,"Lifr","protein_coding",1085.01574887698,-0.766101763083206,0.119417765656385,-6.41530813168619,1.405383138987e-10,1.20086290849758e-07
"28","ENSMUSG00000059921",788.029233386971,629.053898575985,1094.03873365304,683.174948274017,923.40537228245,773.483479539701,"Unc5c","protein_coding",815.197610952027,-0.427828027647227,0.113859904450095,-3.7574950524813,0.000171622759094484,0.0376751327593236,1849.23133052346,1258.20941147028,1653.71132615857,1156.79693499723,1938.97760562572,1326.37446324073,"Unc5c","protein_coding",1530.55017866933,-0.539149122699217,0.0831230983213259,-6.48615286950745,8.80558242647177e-11,7.94214614965384e-08
"29","ENSMUSG00000063415",89.1344120026394,8.60408067961073,49.0647142000886,20.4766333270141,90.5904936018457,6.01152963372825,"Cyp26b1","protein_coding",43.9803105741545,-2.69459257635553,0.410796216515646,-6.55943864140457,5.40107113517857e-11,6.42727465086249e-08,238.484378777867,43.62723340743,168.004720120448,31.858605047407,190.976936822928,44.9618462115501,"Cyp26b1","protein_coding",119.652286731272,-2.30319617427994,0.234469453269696,-9.82301166382946,8.96251663716135e-23,4.2338568381225e-19
"30","ENSMUSG00000066800",662.430743746888,855.628023139068,684.818138622514,946.578913344244,631.045142931039,941.806309284092,"Rnasel","protein_coding",787.051211844641,0.472044752616168,0.0878647039127127,5.37240474952389,7.76934721035727e-08,4.84289309445603e-05,869.88154554222,1302.70918954586,1082.49527774905,1280.93563742333,830.187978306726,1294.69679886441,"Rnasel","protein_coding",1110.1510712386,0.477114269299895,0.0967719427290106,4.93029545387916,8.21053452748115e-07,0.000242360051006648
"31","ENSMUSG00000070047",1536.55571600005,1867.08550747553,1586.77373583265,2072.79374633002,1578.12757604124,2073.97772363625,"Fat1","protein_coding",1785.88566755262,0.355175432079468,0.0698610027754835,5.08402997335891,3.69509588649491e-07,0.000201536688142576,2197.18394874035,2454.46815150201,2105.0537364281,2500.35120992753,1852.4762871824,2483.12014304697,"Fat1","protein_coding",2265.44224613789,0.272154089501413,0.073264921987658,3.71465746660127,0.000203479130886843,0.0300316699086172
