ensembl_id,BR-A-Control,BR-A-Mutant,BR-B-Control,BR-B-Mutant,BR-C-Control,BR-C-Mutant,external_gene_id,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000003949,302,134,337,209,299,201,Hlf,protein_coding,248.2531312,-0.532943173,0.098301747,-5.421502545,5.91E-08,3.50E-05
ENSMUSG00000066800,654,895,656,1017,613,940,Rnasel,protein_coding,787.0512118,0.396456224,0.073757152,5.375156362,7.65E-08,4.32E-05
ENSMUSG00000033060,74,154,62,155,77,157,Lmo7,protein_coding,111.2897578,0.522850242,0.100580968,5.19830193,2.01E-07,0.000108302
ENSMUSG00000024008,57,109,59,162,61,158,Cpne5,protein_coding,99.23557008,0.518168007,0.100020561,5.180614883,2.21E-07,0.000113914
ENSMUSG00000070047,1517,1953,1520,2227,1533,2070,Fat1,protein_coding,1785.885668,0.316965137,0.062335999,5.084784754,3.68E-07,0.000181675
ENSMUSG00000032452,1342,1155,1688,1222,1598,1220,Clstn2,protein_coding,1371.735567,-0.380817514,0.076105194,-5.003830827,5.62E-07,0.00026633
ENSMUSG00000031558,5002,4018,5716,4748,5826,4688,Slit2,protein_coding,4998.095022,-0.340156105,0.069303266,-4.908226217,9.19E-07,0.000418763
ENSMUSG00000039323,92,150,60,163,69,147,Igfbp2,protein_coding,111.5416704,0.469223198,0.100593939,4.664527511,3.09E-06,0.001357258
ENSMUSG00000036800,160,76,192,64,169,124,Fam135b,protein_coding,132.155903,-0.463931132,0.099864158,-4.645622021,3.39E-06,0.001434559
ENSMUSG00000023484,295,281,454,245,428,241,Prph,protein_coding,325.2471998,-0.447460626,0.097381495,-4.594924611,4.33E-06,0.001768495
ENSMUSG00000062078,2933,2502,3060,2788,3193,2670,Qk,protein_coding,2852.373705,-0.272564108,0.060462375,-4.507995414,6.54E-06,0.002584344
ENSMUSG00000029088,70,53,133,34,84,34,Kcnip4,protein_coding,68.76622245,-0.416712616,0.093746634,-4.445094179,8.79E-06,0.003357416
ENSMUSG00000022799,161,57,212,96,130,108,Arhgap31,protein_coding,128.3780215,-0.42909117,0.099212542,-4.324969013,1.53E-05,0.005647809
ENSMUSG00000038331,197,78,247,122,173,146,Satb2,protein_coding,161.647406,-0.432870925,0.100426011,-4.310346717,1.63E-05,0.005851656
ENSMUSG00000033740,1129,771,1058,971,993,851,St18,protein_coding,960.6242871,-0.324104158,0.075833864,-4.27387105,1.92E-05,0.00669384
ENSMUSG00000000120,1138,942,1363,1139,1415,1057,Ngfr,protein_coding,1175.320569,-0.337370399,0.079088547,-4.265730139,1.99E-05,0.006744311
ENSMUSG00000022231,1173,959,1171,763,922,825,Sema5a,protein_coding,968.8782391,-0.351402962,0.084064381,-4.180164732,2.91E-05,0.008974271
ENSMUSG00000026872,871,790,1013,696,873,735,Zeb2,protein_coding,829.6489725,-0.330488986,0.078911599,-4.188091347,2.81E-05,0.008974271
ENSMUSG00000054976,1256,915,1400,1228,1457,1138,Nyap2,protein_coding,1231.914507,-0.337587493,0.080732769,-4.181542378,2.90E-05,0.008974271
ENSMUSG00000062393,142,226,153,290,178,293,Dgkk,protein_coding,211.0553347,0.410601424,0.098301491,4.176960307,2.95E-05,0.008974271
ENSMUSG00000039385,434,368,590,360,491,390,Cdh6,protein_coding,439.7666917,-0.379898284,0.091222774,-4.164511445,3.12E-05,0.009241252
ENSMUSG00000052397,197,82,214,113,129,116,Ezr,protein_coding,142.5881799,-0.417360118,0.100443491,-4.155173354,3.25E-05,0.009392099
ENSMUSG00000030551,636,536,856,708,950,561,Nr2f2,protein_coding,708.207089,-0.375612741,0.09220001,-4.073890451,4.62E-05,0.012270291
ENSMUSG00000031327,1045,916,1054,839,946,799,Chic1,protein_coding,931.6275286,-0.296253085,0.072698597,-4.075086697,4.60E-05,0.012270291
ENSMUSG00000035200,124,61,121,95,150,73,Chrnb4,protein_coding,104.3680491,-0.40867906,0.100362816,-4.072016687,4.66E-05,0.012270291
ENSMUSG00000038156,769,511,622,571,629,530,Spon1,protein_coding,604.4591023,-0.332948702,0.081752334,-4.072650737,4.65E-05,0.012270291
ENSMUSG00000030772,69,61,110,46,102,36,Dkk3,protein_coding,71.15415216,-0.374413943,0.096202575,-3.891932668,9.94E-05,0.025067457
ENSMUSG00000023945,428,330,623,365,580,460,Slc5a7,protein_coding,466.1753966,-0.375870568,0.096801618,-3.882895536,0.00010322,0.025475967
ENSMUSG00000050069,140,103,113,69,141,56,Grem2,protein_coding,103.9530375,-0.384712516,0.099807951,-3.854527732,0.000115953,0.028034654
ENSMUSG00000030306,321,266,411,250,391,308,Tmtc1,protein_coding,325.3804301,-0.360630186,0.094795836,-3.80428298,0.000142216,0.033035831
ENSMUSG00000031561,1003,1295,1101,1543,1103,1468,Tenm3,protein_coding,1240.962559,0.277545325,0.072875801,3.80847035,0.000139829,0.033035831
ENSMUSG00000035133,1030,929,1036,870,1118,925,Arhgap5,protein_coding,983.3946631,-0.272275532,0.071719274,-3.796406716,0.000146809,0.033446945
ENSMUSG00000052534,5652,5318,5612,5643,6030,5020,Pbx1,protein_coding,5526.143686,-0.196220778,0.051836752,-3.785360189,0.000153486,0.034308489
ENSMUSG00000026761,713,715,826,632,852,620,Orc4,protein_coding,725.7556487,-0.302728028,0.080591439,-3.756329838,0.000172423,0.035836845
ENSMUSG00000029765,1687,1565,1846,1669,1927,1575,Plxna4,protein_coding,1707.863414,-0.246451831,0.06543888,-3.766137645,0.000165792,0.035836845
ENSMUSG00000052957,91,59,89,43,83,43,Gas1,protein_coding,68.33930635,-0.369616923,0.098211989,-3.763460313,0.000167578,0.035836845
ENSMUSG00000059921,778,658,1048,734,897,772,Unc5c,protein_coding,815.197611,-0.324027503,0.08623039,-3.757694982,0.000171486,0.035836845
ENSMUSG00000039683,214,142,268,136,165,149,Sdk1,protein_coding,179.6685899,-0.375645389,0.10025288,-3.74697853,0.000178977,0.035938055
ENSMUSG00000043410,235,151,207,122,186,156,Hfm1,protein_coding,176.6346082,-0.372228222,0.099274099,-3.749499883,0.000177188,0.035938055
ENSMUSG00000039058,37,77,45,71,22,95,Ak5,protein_coding,56.9967282,0.344687628,0.093237454,3.696879451,0.000218266,0.043096606
ENSMUSG00000010175,789,559,711,607,580,511,Prox1,protein_coding,624.9731527,-0.312998529,0.085043127,-3.680468253,0.000232806,0.045213987
ENSMUSG00000036510,590,816,641,802,480,780,Cdh8,protein_coding,678.1605662,0.30501778,0.083155778,3.668028713,0.000244428,0.04670541
