"","ensembl_id","BR-A-Control","BR-B-Control","BR-C-Control","TH-A-Control","TH-B-Control","TH-C-Control","external_gene_id","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"160","ENSMUSG00000000938",7.86571646081494,0,1.14068228854227,146.909985007368,142.486280412874,72.2002246503543,"Hoxa10","protein_coding",61.7671481366589,-5.31950481005678,1.02951195575869,-5.16701606066984,2.37860831022846e-07,5.0163019564018e-05
"12857","ENSMUSG00000043342",8.98939024093136,0,5.70341144271133,124.831027723024,200.740339808192,77.0786182078107,"Hoxd9","protein_coding",69.5571312371116,-4.77219279275943,0.927622291473703,-5.14454302858322,2.68172783999325e-07,5.48673510904889e-05
"8870","ENSMUSG00000032289",94.3885975297793,91.8053620581888,150.570062087579,253.058818105178,239.313973732119,195.135742298255,"Thsd4","protein_coding",170.712092635183,-1.0311781189694,0.202698229477856,-5.08725765205588,3.63278153218743e-07,7.21712597727903e-05
"2202","ENSMUSG00000019888",76.4098170479166,66.2393118647691,141.444603779241,166.441370297365,202.314773845904,272.214360506066,"Mgat4c","protein_coding",154.17737289021,-1.17149076401621,0.249587582523589,-4.69370612179991,2.68299389322163e-06,0.000404159124047056
"17210","ENSMUSG00000060961",46.0706249847732,49.9700071962293,22.8136457708453,94.2601637908549,82.6577869798438,138.546377031761,"Slc4a4","protein_coding",72.3864342923846,-1.40452370799227,0.308368225828972,-4.55469659436068,5.2461242009299e-06,0.000698192917925699
"10907","ENSMUSG00000037942",7.86571646081494,10.4588387154899,30.7984217906412,42.4595332391238,66.1262295838751,85.8597266112322,"Crp","protein_coding",40.5947444001962,-1.98250819826055,0.441903507559675,-4.48629206228428,7.24733797170664e-06,0.000914741010950706
"17763","ENSMUSG00000063415",98.883292650245,54.6183799586693,100.380041391719,207.202522206924,145.635148488296,165.865380953517,"Cyp26b1","protein_coding",128.764127608228,-1.02900416465278,0.233412078317529,-4.40853006438228,1.04074574894375e-05,0.00121936262619837
"3581","ENSMUSG00000022262",32.5865396233762,42.9974480525694,21.672963482303,78.9747318247703,81.8705699609882,81.9570117652671,"Dnah5","protein_coding",56.6765441182124,-1.32110102020824,0.304938640811647,-4.33235032691134,1.47525951399408e-05,0.00161782859342647
"3218","ENSMUSG00000021647",23.5971493824448,20.9176774309797,22.8136457708453,65.3876811882507,48.8074551690507,77.0786182078107,"Cartpt","protein_coding",43.1003711915637,-1.50140119035304,0.34865777678475,-4.3062317559604,1.66059079851336e-05,0.00178478545920269
"7613","ENSMUSG00000030047",16.8551067017463,41.8353548619595,20.5322811937608,67.9352531825981,96.04047630039,58.5407226894765,"Arhgap25","protein_coding",50.2898658216552,-1.49671858757364,0.361446601915468,-4.14091204521457,3.45927597313974e-05,0.00320403750268916
"679","ENSMUSG00000004151",59.5547103461703,49.9700071962293,44.4866092531484,133.322934370849,92.1043912061117,97.5678711491275,"Etv1","protein_coding",79.501087253606,-1.06818739769943,0.260571689044184,-4.09939929244694,4.14223862915701e-05,0.00366334239538608
"15577","ENSMUSG00000053626",10.1130640210478,30.2144229558596,18.2509166166762,39.0627705799939,49.5946721879063,119.032802801936,"Tll1","protein_coding",44.3781081939032,-1.82276743254921,0.449983594166802,-4.05074197410302,5.1055482263555e-05,0.00430078926503694
"16262","ENSMUSG00000056758",53.9363414455882,34.8627957182995,80.9884424865008,110.394786421722,118.869769847204,130.740947339831,"Hmga2","protein_coding",88.2988472098576,-1.08218517537764,0.268744670258621,-4.02681539446425,5.65373860941956e-05,0.00469705750654081
"3270","ENSMUSG00000021732",7.86571646081494,11.6209319060998,9.12545830833812,27.1741012730392,55.8924083387516,29.2703613447382,"Fgf10","protein_coding",23.4914962719637,-1.98026283135296,0.505941024561423,-3.9140190955449,9.07724523425912e-05,0.00702999308876972
"811","ENSMUSG00000005148",17.9787804818627,19.7555842403697,17.110234328134,52.6498212165135,47.2330211313393,49.759614286055,"Klf5","protein_coding",34.0811759473791,-1.44814448082365,0.374032415411261,-3.87170849679262,0.000108075155579479,0.00814007820155765
"7930","ENSMUSG00000030616",23.5971493824448,33.7007025276896,22.8136457708453,45.0071052334712,69.2750976592977,87.8110840342147,"Sytl2","protein_coding",47.0341307679939,-1.33278803740331,0.352193407551815,-3.78425038295819,0.000154172554469513,0.010782639676878
"14104","ENSMUSG00000047786",24.7208231625612,33.7007025276896,19.3915989052185,101.053689109115,42.5097190182054,64.3947949584241,"Lix1","protein_coding",47.6285546135356,-1.41808486418363,0.375301916194486,-3.77851751614494,0.00015776475714467,0.0109224206613088
"3543","ENSMUSG00000022206",10.1130640210478,30.2144229558596,18.2509166166762,50.9514398869486,70.849531697009,43.9055420171074,"Npr3","protein_coding",37.3808195324414,-1.507605545613,0.404864820953496,-3.72372571680209,0.000196304192528698,0.0130628051999194
"5524","ENSMUSG00000026393",28.0918445029105,33.7007025276896,25.0950103479298,85.7682571430301,44.8713700747724,80.0056543422845,"Nek7","protein_coding",49.5888064897695,-1.27438029256713,0.342492487053611,-3.72089999266948,0.000198514046354036,0.0130828391702939
"20108","ENSMUSG00000071317",25.8444969426777,23.2418638121997,45.6272915416906,71.332015841728,62.9773615084525,82.9326904767584,"Bves","protein_coding",51.9926200205845,-1.19450628164407,0.325633526762246,-3.66825336912012,0.000244213112256988,0.0154984876982352
"321","ENSMUSG00000001815",211.250670661887,325.386093370796,185.931213032389,571.505317398607,686.453240442132,381.490376193088,"Evx2","protein_coding",393.66948518315,-1.18278715145136,0.345373712732891,-3.42465887774764,0.000615571800534878,0.0327327459115911
"16739","ENSMUSG00000058914",10.1130640210478,16.2693046685398,4.56272915416906,29.7216732673867,42.5097190182054,29.2703613447382,"C1qtnf3","protein_coding",22.0744752456812,-1.71957291396284,0.507389142327414,-3.38906131509849,0.00070132326518245,0.0358721616385113
