"","ensembl_id","BR-A-Control","BR-B-Control","BR-C-Control","TH-A-Control","TH-B-Control","TH-C-Control","external_gene_id","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"8870","ENSMUSG00000032289",94.3885975297793,91.8053620581888,150.570062087579,253.058818105178,239.313973732119,195.135742298255,"Thsd4","protein_coding",170.712092635183,-1.0311781189694,0.202698229477856,-5.08725765205588,3.63278153218743e-07,7.21712597727903e-05
"11610","ENSMUSG00000039629",135.964527394087,138.289089682588,93.5359476604658,54.3482025460785,59.8284934330298,33.1730761907033,"Strip2","protein_coding",85.8565561511587,1.31012268921127,0.26640082476915,4.91786273689865,8.74942266259686e-07,0.000155762449167374
"1843","ENSMUSG00000017724",23.5971493824448,49.9700071962293,29.6577395020989,1.69838132956495,7.87217018855656,3.9027148459651,"Etv4","protein_coding",19.4496937408099,2.91613632291196,0.5995310502088,4.86402884704028,1.15020139060398e-06,0.000197137033308655
"2202","ENSMUSG00000019888",76.4098170479166,66.2393118647691,141.444603779241,166.441370297365,202.314773845904,272.214360506066,"Mgat4c","protein_coding",154.17737289021,-1.17149076401621,0.249587582523589,-4.69370612179991,2.68299389322163e-06,0.000404159124047056
"6537","ENSMUSG00000028172",24.7208231625612,37.1869820995195,19.3915989052185,3.39676265912991,3.93608509427828,2.92703613447382,"Tacr3","protein_coding",15.2598813425302,2.97598882911545,0.6436349533524,4.62372158879018,3.7691568830107e-06,0.000532655696415574
"29336","ENSMUSG00000087626",110.120030451409,91.8053620581888,123.193687162565,44.1579145686888,53.5307572821846,50.7352929975463,"Gm15050","antisense",78.9238407534304,1.13118224522919,0.247611939974836,4.56836712051988,4.91538533689367e-06,0.000660589237236651
"17210","ENSMUSG00000060961",46.0706249847732,49.9700071962293,22.8136457708453,94.2601637908549,82.6577869798438,138.546377031761,"Slc4a4","protein_coding",72.3864342923846,-1.40452370799227,0.308368225828972,-4.55469659436068,5.2461242009299e-06,0.000698192917925699
"10907","ENSMUSG00000037942",7.86571646081494,10.4588387154899,30.7984217906412,42.4595332391238,66.1262295838751,85.8597266112322,"Crp","protein_coding",40.5947444001962,-1.98250819826055,0.441903507559675,-4.48629206228428,7.24733797170664e-06,0.000914741010950706
"21432","ENSMUSG00000075707",23.5971493824448,30.2144229558596,21.672963482303,4.24595332391238,2.36165105656697,3.9027148459651,"Dio3","protein_coding",14.3324758411753,2.85606760455113,0.643964018788224,4.43513538213753,9.20144455637555e-06,0.00111622479627253
"17763","ENSMUSG00000063415",98.883292650245,54.6183799586693,100.380041391719,207.202522206924,145.635148488296,165.865380953517,"Cyp26b1","protein_coding",128.764127608228,-1.02900416465278,0.233412078317529,-4.40853006438228,1.04074574894375e-05,0.00121936262619837
"3581","ENSMUSG00000022262",32.5865396233762,42.9974480525694,21.672963482303,78.9747318247703,81.8705699609882,81.9570117652671,"Dnah5","protein_coding",56.6765441182124,-1.32110102020824,0.304938640811647,-4.33235032691134,1.47525951399408e-05,0.00161782859342647
"3218","ENSMUSG00000021647",23.5971493824448,20.9176774309797,22.8136457708453,65.3876811882507,48.8074551690507,77.0786182078107,"Cartpt","protein_coding",43.1003711915637,-1.50140119035304,0.34865777678475,-4.3062317559604,1.66059079851336e-05,0.00178478545920269
"7613","ENSMUSG00000030047",16.8551067017463,41.8353548619595,20.5322811937608,67.9352531825981,96.04047630039,58.5407226894765,"Arhgap25","protein_coding",50.2898658216552,-1.49671858757364,0.361446601915468,-4.14091204521457,3.45927597313974e-05,0.00320403750268916
"679","ENSMUSG00000004151",59.5547103461703,49.9700071962293,44.4866092531484,133.322934370849,92.1043912061117,97.5678711491275,"Etv1","protein_coding",79.501087253606,-1.06818739769943,0.260571689044184,-4.09939929244694,4.14223862915701e-05,0.00366334239538608
"18987","ENSMUSG00000066026",37.0812347438419,55.7804731492793,36.5018332333525,14.4362413013021,10.2338212451235,14.6351806723691,"Dhrs3","protein_coding",28.1114640575447,1.72480175608009,0.423371088419227,4.07397151874522,4.62181362303739e-05,0.0039846428392828
"15577","ENSMUSG00000053626",10.1130640210478,30.2144229558596,18.2509166166762,39.0627705799939,49.5946721879063,119.032802801936,"Tll1","protein_coding",44.3781081939032,-1.82276743254921,0.449983594166802,-4.05074197410302,5.1055482263555e-05,0.00430078926503694
"16262","ENSMUSG00000056758",53.9363414455882,34.8627957182995,80.9884424865008,110.394786421722,118.869769847204,130.740947339831,"Hmga2","protein_coding",88.2988472098576,-1.08218517537764,0.268744670258621,-4.02681539446425,5.65373860941956e-05,0.00469705750654081
"3270","ENSMUSG00000021732",7.86571646081494,11.6209319060998,9.12545830833812,27.1741012730392,55.8924083387516,29.2703613447382,"Fgf10","protein_coding",23.4914962719637,-1.98026283135296,0.505941024561423,-3.9140190955449,9.07724523425912e-05,0.00702999308876972
"811","ENSMUSG00000005148",17.9787804818627,19.7555842403697,17.110234328134,52.6498212165135,47.2330211313393,49.759614286055,"Klf5","protein_coding",34.0811759473791,-1.44814448082365,0.374032415411261,-3.87170849679262,0.000108075155579479,0.00814007820155765
"5500","ENSMUSG00000026344",332.60743891446,505.510537915343,433.459269646061,192.766280905622,218.846331241872,109.276015687023,"Lypd1","protein_coding",298.744312385064,1.28536507355108,0.336628676201347,3.81834693364706,0.000134348901804529,0.00969291971545519
"19498","ENSMUSG00000068696",89.8939024093136,55.7804731492793,51.3307029844019,31.4200545969516,29.1270296976593,10.732465826404,"Gpr88","protein_coding",44.714104777335,1.45325760591898,0.383427368157294,3.79017703640499,0.000150539952004882,0.0105825726260663
"7930","ENSMUSG00000030616",23.5971493824448,33.7007025276896,22.8136457708453,45.0071052334712,69.2750976592977,87.8110840342147,"Sytl2","protein_coding",47.0341307679939,-1.33278803740331,0.352193407551815,-3.78425038295819,0.000154172554469513,0.010782639676878
"14104","ENSMUSG00000047786",24.7208231625612,33.7007025276896,19.3915989052185,101.053689109115,42.5097190182054,64.3947949584241,"Lix1","protein_coding",47.6285546135356,-1.41808486418363,0.375301916194486,-3.77851751614494,0.00015776475714467,0.0109224206613088
"3543","ENSMUSG00000022206",10.1130640210478,30.2144229558596,18.2509166166762,50.9514398869486,70.849531697009,43.9055420171074,"Npr3","protein_coding",37.3808195324414,-1.507605545613,0.404864820953496,-3.72372571680209,0.000196304192528698,0.0130628051999194
"5524","ENSMUSG00000026393",28.0918445029105,33.7007025276896,25.0950103479298,85.7682571430301,44.8713700747724,80.0056543422845,"Nek7","protein_coding",49.5888064897695,-1.27438029256713,0.342492487053611,-3.72089999266948,0.000198514046354036,0.0130828391702939
"20108","ENSMUSG00000071317",25.8444969426777,23.2418638121997,45.6272915416906,71.332015841728,62.9773615084525,82.9326904767584,"Bves","protein_coding",51.9926200205845,-1.19450628164407,0.325633526762246,-3.66825336912012,0.000244213112256988,0.0154984876982352
"10933","ENSMUSG00000037996",97.7596188701286,134.802810110758,68.4409373125359,58.5941558699909,49.5946721879063,40.9785058826335,"Slc24a2","protein_coding",75.0284500389922,1.00879557103957,0.284239410821689,3.54910520016667,0.000386542619437573,0.0223574946297479
"11956","ENSMUSG00000040536",97.7596188701286,103.426293964289,35.3611509448102,45.0071052334712,28.3398126788036,18.5378955183342,"Necab1","protein_coding",54.7386462016394,1.35819339207581,0.390336159086289,3.47954797540435,0.00050226043232873,0.0277620403482348
"321","ENSMUSG00000001815",211.250670661887,325.386093370796,185.931213032389,571.505317398607,686.453240442132,381.490376193088,"Evx2","protein_coding",393.66948518315,-1.18278715145136,0.345373712732891,-3.42465887774764,0.000615571800534878,0.0327327459115911
"16739","ENSMUSG00000058914",10.1130640210478,16.2693046685398,4.56272915416906,29.7216732673867,42.5097190182054,29.2703613447382,"C1qtnf3","protein_coding",22.0744752456812,-1.71957291396284,0.507389142327414,-3.38906131509849,0.00070132326518245,0.0358721616385113
