ensembl_id,BR-A-Control,BR-B-Control,BR-C-Control,TH-A-Control,TH-B-Control,TH-C-Control,external_gene_id,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000056648,412.3882773,285.8749249,384.4099312,183.4251836,192.0809526,141.4734132,Hoxb8,protein_coding,266.6087805,1.063016361,0.167240914,6.35619797,2.07E-10,9.14E-08
ENSMUSG00000041324,60.67838413,102.2642008,101.5207237,22.92814795,22.82929355,12.68382325,Inhba,protein_coding,53.81742889,2.164206914,0.340849491,6.349450331,2.16E-10,9.25E-08
ENSMUSG00000030067,3155.275975,3357.287228,3785.924516,2313.195371,2508.073422,2519.202433,Foxp1,protein_coding,2939.826491,0.488555138,0.077834242,6.276866427,3.45E-10,1.43E-07
ENSMUSG00000009628,174.1694359,197.5558424,96.95799453,49.25305856,58.2540594,36.10011233,Tex15,protein_coding,102.0484172,1.698850223,0.273851658,6.203541849,5.52E-10,2.22E-07
ENSMUSG00000036502,176.4167835,199.8800288,146.0073329,403.3655658,390.4596414,282.9468263,Tmem255a,protein_coding,266.5126964,-1.04642196,0.168822568,-6.198353522,5.71E-10,2.22E-07
ENSMUSG00000046982,1732.704969,2194.031944,1942.581937,1222.834557,1417.777851,1025.438326,Tshz1,protein_coding,1589.228264,0.677468449,0.10936096,6.194792466,5.84E-10,2.22E-07
ENSMUSG00000025876,661.8438565,687.9591688,773.3825916,449.2218617,452.6497858,462.4717092,Unc5a,protein_coding,581.254829,0.638298299,0.10361451,6.160317719,7.26E-10,2.69E-07
ENSMUSG00000078706,7.865716461,6.972559144,5.703411443,50.95143989,63.76457853,44.88122073,Gm53,protein_coding,30.02315437,-2.960297954,0.482389927,-6.136732521,8.42E-10,3.04E-07
ENSMUSG00000079560,469.6956401,398.5979644,515.5883944,260.7015341,281.0364757,250.7494289,Hoxa3,protein_coding,362.7282396,0.803077207,0.131483466,6.107818956,1.01E-09,3.55E-07
ENSMUSG00000056423,25.84449694,52.29419358,36.50183323,137.5688877,102.3382125,127.8139112,Uts2b,protein_coding,80.39358918,-1.682611828,0.278023964,-6.052038828,1.43E-09,4.90E-07
ENSMUSG00000075324,922.5361735,950.5922299,961.5951692,1330.681772,1263.483315,1486.934356,Fign,protein_coding,1152.637169,-0.524690816,0.086858125,-6.040779899,1.53E-09,5.12E-07
ENSMUSG00000028360,469.6956401,511.3210039,541.8240871,328.6367873,295.2063821,311.241509,Slc44a5,protein_coding,409.6542349,0.703938612,0.117809431,5.975231417,2.30E-09,7.32E-07
ENSMUSG00000036095,182.0351524,169.6656058,233.8398692,348.1681726,343.2266202,484.9123196,Dgkb,protein_coding,293.64129,-1.00375362,0.167891927,-5.978569895,2.25E-09,7.32E-07
ENSMUSG00000029651,1157.383994,1236.467155,1347.145783,1661.01694,1749.983433,1875.254483,Mtus2,protein_coding,1504.541965,-0.498420077,0.083556793,-5.965045536,2.45E-09,7.61E-07
ENSMUSG00000040452,432.6144053,502.0242583,573.7631911,326.0892153,284.1853438,290.752256,Cdh12,protein_coding,401.571445,0.743124993,0.130626684,5.688921801,1.28E-08,3.89E-06
ENSMUSG00000032698,270.805381,313.7651615,333.0792283,181.7268023,157.4434038,171.7194532,Lmo2,protein_coding,238.089905,0.845656508,0.150397583,5.622806486,1.88E-08,5.59E-06
ENSMUSG00000059921,874.2182009,1217.873664,1023.192013,1606.668738,1433.522191,1684.021456,Unc5c,protein_coding,1306.58271,-0.600508639,0.107001894,-5.612130915,2.00E-08,5.82E-06
ENSMUSG00000034751,1070.861112,1388.701363,866.9185393,1718.761906,1767.302207,1779.63797,Mast4,protein_coding,1432.030516,-0.662838867,0.119405853,-5.551142159,2.84E-08,7.93E-06
ENSMUSG00000038700,1274.246067,1051.694338,1400.75785,815.2230382,755.7283381,898.6000933,Hoxb5,protein_coding,1032.708287,0.594988495,0.107140694,5.553338098,2.80E-08,7.93E-06
ENSMUSG00000047976,439.356448,449.7300648,458.55428,250.5112461,315.6740246,264.4089308,Kcna1,protein_coding,363.0391657,0.696094532,0.127639136,5.453613648,4.94E-08,1.35E-05
ENSMUSG00000017491,431.4907316,442.7575056,540.6834048,234.3766235,240.8884078,334.657798,Rarb,protein_coding,370.8090785,0.80881267,0.149795097,5.39946024,6.68E-08,1.80E-05
ENSMUSG00000027971,75.28614327,106.9125735,73.00366647,191.0678996,197.5914717,159.03563,Ndst4,protein_coding,133.8162308,-1.105013134,0.207438096,-5.326953716,9.99E-08,2.63E-05
ENSMUSG00000024420,2195.658566,2327.672661,1904.939422,1590.534115,1569.710736,1600.113087,Zfp521,protein_coding,1864.771431,0.433402623,0.081818003,5.297154742,1.18E-07,2.98E-05
ENSMUSG00000025927,4035.112544,3693.13216,2723.949305,1514.956146,1346.141102,854.6945513,Tfap2b,protein_coding,2361.330968,1.49176609,0.281469265,5.299925332,1.16E-07,2.98E-05
ENSMUSG00000037578,12.36041158,8.134652334,4.562729154,45.8562959,49.59467219,45.85689944,Pkd2l1,protein_coding,27.7276101,-2.493873357,0.471746774,-5.286466156,1.25E-07,3.11E-05
ENSMUSG00000027965,183.1588262,235.9049177,156.2734735,388.9293245,331.4183649,318.0712599,Olfm3,protein_coding,268.9593611,-0.853204305,0.161637334,-5.278510119,1.30E-07,3.13E-05
ENSMUSG00000029088,78.65716461,154.5583944,95.81731224,202.1073782,229.8673695,354.1713723,Kcnip4,protein_coding,185.8631652,-1.255348,0.237755529,-5.279994979,1.29E-07,3.13E-05
ENSMUSG00000038721,882.0839174,782.0887173,860.0744456,569.8069361,625.83753,578.5774759,Hoxb7,protein_coding,716.4115037,0.508099066,0.096445689,5.268240326,1.38E-07,3.25E-05
ENSMUSG00000022952,28.0918445,72.04977782,34.22046866,5.944334653,9.446604226,0.975678711,Runx1,protein_coding,25.12145143,2.994644307,0.570493648,5.249215864,1.53E-07,3.55E-05
ENSMUSG00000025932,40.45225608,31.37651615,36.50183323,112.0931678,122.8058549,74.15158207,Eya1,protein_coding,69.56353504,-1.515979597,0.289542482,-5.235776064,1.64E-07,3.75E-05
ENSMUSG00000023484,331.4837651,527.5903085,488.2120195,236.9241955,241.6756248,280.0197902,Prph,protein_coding,350.9842839,0.829762386,0.158868153,5.222962372,1.76E-07,3.95E-05
ENSMUSG00000092341,12217.70501,12713.29951,12392.37238,9405.635803,8830.213301,10689.53596,Malat1,lincRNA,11041.46033,0.36799888,0.070509873,5.219111399,1.80E-07,3.97E-05
ENSMUSG00000045414,602.2891461,698.4180076,791.6335082,949.3951632,1010.786652,1280.090469,1190002N15Rik,protein_coding,888.7688245,-0.629948074,0.12108258,-5.202631737,1.96E-07,4.27E-05
ENSMUSG00000003746,83.15185973,152.234208,102.661406,236.9241955,193.6553866,331.7307619,Man1a,protein_coding,183.3929696,-1.17141178,0.226267682,-5.177106028,2.25E-07,4.82E-05
ENSMUSG00000000938,7.865716461,0,1.140682289,146.909985,142.4862804,72.20022465,Hoxa10,protein_coding,61.76714814,-5.31950481,1.029511956,-5.167016061,2.38E-07,5.01E-05
ENSMUSG00000040118,1288.853826,1488.641377,1144.104335,1806.228544,1753.919518,1879.157198,Cacna2d1,protein_coding,1560.1508,-0.471868996,0.091611533,-5.150759714,2.59E-07,5.38E-05
ENSMUSG00000043342,8.989390241,0,5.703411443,124.8310277,200.7403398,77.07861821,Hoxd9,protein_coding,69.55713124,-4.772192793,0.927622291,-5.144543029,2.68E-07,5.48E-05
ENSMUSG00000020875,1220.309725,925.0261797,1187.450262,730.3039717,756.5155551,804.934937,Hoxb9,protein_coding,937.4234385,0.541121961,0.106117771,5.099258653,3.41E-07,6.87E-05
ENSMUSG00000032289,94.38859753,91.80536206,150.5700621,253.0588181,239.3139737,195.1357423,Thsd4,protein_coding,170.7120926,-1.031178119,0.202698229,-5.087257652,3.63E-07,7.21E-05
ENSMUSG00000028677,882.0839174,941.2954844,995.8156379,716.7169211,635.2841342,675.1696684,Rnf220,protein_coding,807.7276272,0.476140072,0.093884102,5.071572966,3.95E-07,7.72E-05
ENSMUSG00000034336,5020.57445,5198.042842,5158.165309,3922.411681,3624.347155,4382.748772,Ina,protein_coding,4551.048368,0.366782901,0.0729827,5.025614328,5.02E-07,9.68E-05
ENSMUSG00000007836,2040.591585,2103.388675,2070.338354,1532.78915,1457.138702,1735.732428,Hnrnpa0,protein_coding,1823.329815,0.396222962,0.079449886,4.987080312,6.13E-07,0.000116612
ENSMUSG00000015243,579.8156705,565.9393838,699.2382429,300.6134953,323.5461947,475.1555325,Abca1,protein_coding,490.7180866,0.750553197,0.150892322,4.974097998,6.56E-07,0.000122996
ENSMUSG00000053062,224.734756,226.6081722,254.3721503,338.8270752,380.2258201,408.8093801,Jam2,protein_coding,305.5962257,-0.675360721,0.13632881,-4.953910474,7.27E-07,0.000134632
ENSMUSG00000028184,3924.992514,4249.774798,3679.841063,3170.028752,3137.847037,2643.113629,Lphn2,protein_coding,3467.599632,0.404697307,0.081736173,4.951263216,7.37E-07,0.000134657
ENSMUSG00000064339,3226.067423,3330.559084,3272.617486,2439.72478,2260.100061,2797.270866,mt-Rnr2,Mt_rRNA,2887.723283,0.391622314,0.079182695,4.945806854,7.58E-07,0.000136662
ENSMUSG00000039629,135.9645274,138.2890897,93.53594766,54.34820255,59.82849343,33.17307619,Strip2,protein_coding,85.85655615,1.310122689,0.266400825,4.917862737,8.75E-07,0.000155637
ENSMUSG00000052727,23720.7535,24436.49561,23647.48452,18672.00434,17447.87801,20920.50293,Map1b,protein_coding,21474.18648,0.332227803,0.067704376,4.907035912,9.25E-07,0.000162368
ENSMUSG00000017724,23.59714938,49.9700072,29.6577395,1.69838133,7.872170189,3.902714846,Etv4,protein_coding,19.44969374,2.916136323,0.59953105,4.864028847,1.15E-06,0.000196979
ENSMUSG00000055320,560.7132163,590.3433408,466.539056,778.7078396,793.514755,741.5158207,Tead1,protein_coding,655.2223381,-0.517053222,0.106302527,-4.863978642,1.15E-06,0.000196979
ENSMUSG00000022656,1492.23878,1496.77603,1549.046548,1165.938783,1218.611945,1125.933233,Pvrl3,protein_coding,1341.42422,0.36968516,0.076135313,4.85563327,1.20E-06,0.000202923
ENSMUSG00000064341,1914.740121,1961.613306,1940.300573,1443.62413,1337.481715,1634.261842,mt-Nd1,protein_coding,1705.336948,0.398927556,0.082756752,4.82048346,1.43E-06,0.000239214
ENSMUSG00000026728,678.6989632,710.0389395,645.6261753,878.912338,948.5965077,927.8704546,Vim,protein_coding,798.2905631,-0.437858777,0.090927167,-4.815489026,1.47E-06,0.000242321
ENSMUSG00000053007,156.1906554,182.4486309,190.4939422,277.6853474,273.1643055,340.5118703,Creb5,protein_coding,236.7491253,-0.750393616,0.15691484,-4.782171134,1.73E-06,0.000279438
ENSMUSG00000064370,2141.722225,2173.114266,2159.311572,1610.914691,1511.456676,1835.251656,mt-Cytb,protein_coding,1905.295181,0.386218881,0.080759127,4.782355799,1.73E-06,0.000279438
ENSMUSG00000028399,9063.55271,9985.866787,8677.170169,7598.558068,7601.367534,6969.273036,Ptprd,protein_coding,8315.964717,0.322505771,0.067864597,4.752194617,2.01E-06,0.000320144
ENSMUSG00000038738,3769.925532,3440.957937,3539.537141,3015.476051,2847.363957,2655.797453,Shank1,protein_coding,3211.509679,0.335371962,0.070603603,4.750068652,2.03E-06,0.000320144
ENSMUSG00000006586,7471.306964,7501.311545,7464.624896,5841.582583,5886.808867,6545.828475,Runx1t1,protein_coding,6785.243889,0.296406028,0.062547725,4.738877821,2.15E-06,0.000334495
ENSMUSG00000051950,329.2364176,349.7900504,322.8130877,512.0619709,464.4580411,484.9123196,B3glct,protein_coding,410.5453145,-0.544636215,0.115501982,-4.715384141,2.41E-06,0.000371289
ENSMUSG00000038692,498.9111584,406.7326167,516.7290767,294.6691607,312.5251565,332.7064406,Hoxb4,protein_coding,393.7122683,0.599078257,0.12728264,4.706676862,2.52E-06,0.000383193
ENSMUSG00000019888,76.40981705,66.23931186,141.4446038,166.4413703,202.3147738,272.2143605,Mgat4c,protein_coding,154.1773729,-1.171490764,0.249587583,-4.693706122,2.68E-06,0.000403835
ENSMUSG00000021087,2692.322377,2746.026209,2679.462696,2113.635565,1994.807926,2310.407189,Rtn1,protein_coding,2422.776994,0.339605184,0.07246483,4.686482839,2.78E-06,0.000409349
ENSMUSG00000029580,1718.09721,1700.142338,1706.460704,1343.419632,1208.378124,1409.855738,Actb,protein_coding,1514.392291,0.372483679,0.079448722,4.68835332,2.75E-06,0.000409349
ENSMUSG00000061911,5909.40041,6293.89672,5543.715922,4923.607474,4791.002777,4691.063245,Myt1l,protein_coding,5358.781091,0.300809611,0.064588764,4.657305617,3.20E-06,0.000466827
ENSMUSG00000064337,1961.93442,2023.204245,1989.349911,1492.877189,1366.608745,1696.705279,mt-Rnr1,Mt_rRNA,1755.113298,0.392255993,0.084309041,4.652597034,3.28E-06,0.00047259
ENSMUSG00000052512,2267.573688,2464.799657,2139.919973,1816.418832,1859.406599,1662.556524,Nav2,protein_coding,2035.112546,0.363626443,0.078211201,4.649288601,3.33E-06,0.000475232
ENSMUSG00000028172,24.72082316,37.1869821,19.39159891,3.396762659,3.936085094,2.927036134,Tacr3,protein_coding,15.25988134,2.975988829,0.643634953,4.623721589,3.77E-06,0.000532228
ENSMUSG00000069601,8197.200226,8544.871231,8180.973373,6898.824961,6753.534805,7152.700634,Ank3,protein_coding,7621.350872,0.260693485,0.056518479,4.612535387,3.98E-06,0.000555968
ENSMUSG00000031772,102.254314,133.6407169,111.7868643,253.9080088,247.1861439,160.9869874,Cntnap4,protein_coding,168.2938392,-0.933267837,0.202942263,-4.598686457,4.25E-06,0.000582346
ENSMUSG00000044349,7583.674342,7538.498527,6412.915826,6108.228452,5420.776392,5066.699549,Snhg11,protein_coding,6355.132181,0.375708745,0.08167819,4.599866172,4.23E-06,0.000582346
ENSMUSG00000045763,1582.132682,1672.252101,1640.301131,1252.556231,1140.67746,1364.974517,Basp1,protein_coding,1442.14902,0.382401004,0.083362425,4.587210662,4.49E-06,0.000609187
ENSMUSG00000087626,110.1200305,91.80536206,123.1936872,44.15791457,53.53075728,50.735293,Gm15050,antisense,78.92384075,1.131182245,0.24761194,4.568367121,4.92E-06,0.000660059
ENSMUSG00000060961,46.07062498,49.9700072,22.81364577,94.26016379,82.65778698,138.546377,Slc4a4,protein_coding,72.38643429,-1.404523708,0.308368226,-4.554696594,5.25E-06,0.000697633
ENSMUSG00000020176,601.1654724,539.2112404,571.4818266,778.7078396,794.301972,744.4428569,Grb10,protein_coding,671.551868,-0.437357668,0.096209472,-4.545889919,5.47E-06,0.000720457
ENSMUSG00000048304,801.1794052,800.6822083,828.1353415,1135.367919,1065.104627,999.0950006,Slitrk3,protein_coding,938.2607502,-0.397585686,0.087704721,-4.533230137,5.81E-06,0.00075775
ENSMUSG00000086096,1084.345198,1086.557133,1186.30958,818.6198009,793.514755,919.0893462,Gm12688,lincRNA,981.4059689,0.408874547,0.090418806,4.522007836,6.13E-06,0.000791529
ENSMUSG00000019370,1264.133003,1271.329951,1294.674397,1047.90128,968.2769332,962.9948882,Calm3,protein_coding,1134.885075,0.362249917,0.080190827,4.517348585,6.26E-06,0.000801579
ENSMUSG00000037942,7.865716461,10.45883872,30.79842179,42.45953324,66.12622958,85.85972661,Crp,protein_coding,40.5947444,-1.982508198,0.441903508,-4.486292062,7.25E-06,0.000914007
ENSMUSG00000039385,487.6744206,685.6349825,560.0750037,358.3584605,394.3957264,406.8580227,Cdh6,protein_coding,482.1661027,0.580020326,0.129309484,4.485520388,7.27E-06,0.000914007
ENSMUSG00000035566,1595.616768,1603.688603,1396.195121,2265.640694,2049.1259,1798.175865,Pcdh17,protein_coding,1784.740492,-0.412260276,0.091959994,-4.483039391,7.36E-06,0.000916296
ENSMUSG00000051251,304.5155944,248.6879428,296.577395,428.8412857,384.1619052,473.2041751,Nhlh1,protein_coding,355.9980497,-0.595644275,0.133722717,-4.45432377,8.42E-06,0.00103848
ENSMUSG00000049775,1083.221524,1085.39504,1085.929539,809.2787035,740.7712147,902.5028081,Tmsb4x,protein_coding,951.1831382,0.409982122,0.092218639,4.445762005,8.76E-06,0.001071067
ENSMUSG00000075707,23.59714938,30.21442296,21.67296348,4.245953324,2.361651057,3.902714846,Dio3,protein_coding,14.33247584,2.856067605,0.643964019,4.435135382,9.20E-06,0.001115329
ENSMUSG00000046402,1038.274573,1004.048517,1050.568388,783.8029836,707.7081,843.9620854,Rbp1,protein_coding,904.727441,0.406939322,0.091912042,4.427486459,9.53E-06,0.001145472
ENSMUSG00000004110,1321.440365,1556.042782,1002.659732,1831.704264,1714.558667,2026.484684,Cacna1e,protein_coding,1575.481749,-0.521996999,0.118400576,-4.40873697,1.04E-05,0.001218384
ENSMUSG00000063415,98.88329265,54.61837996,100.3800414,207.2025222,145.6351485,165.865381,Cyp26b1,protein_coding,128.7641276,-1.029004165,0.233412078,-4.408530064,1.04E-05,0.001218384
ENSMUSG00000067786,2215.884694,2168.465894,2239.159332,1723.85705,1609.858804,1902.573487,Nnat,protein_coding,1976.63321,0.340114378,0.077125507,4.409881885,1.03E-05,0.001218384
ENSMUSG00000057098,1348.408536,1351.514381,1103.039773,1593.081687,1644.496352,1777.686612,Ebf1,protein_coding,1469.704557,-0.3987718,0.090620802,-4.400444384,1.08E-05,0.001253965
ENSMUSG00000038236,1033.779878,1131.878768,1172.621393,829.6592795,835.237257,893.7216997,Hoxa7,protein_coding,982.816379,0.384360643,0.087417011,4.396863246,1.10E-05,0.001264112
ENSMUSG00000041540,285.4131401,316.0893478,357.0335563,450.920243,463.6708241,477.1068899,Sox5,protein_coding,391.7056669,-0.537776604,0.122588013,-4.386861237,1.15E-05,0.001310689
ENSMUSG00000055409,431.4907316,456.7026239,295.4367127,279.3837287,230.6545865,171.7194532,Nell1,protein_coding,310.8979728,0.793038276,0.18083711,4.385373528,1.16E-05,0.001310689
ENSMUSG00000042604,239.3425152,292.847484,266.9196555,168.1397516,173.9749612,93.6651563,Kcna4,protein_coding,205.8149206,0.86816981,0.19842593,4.375284059,1.21E-05,0.001361554
ENSMUSG00000064367,2774.350563,2835.507385,2857.409133,2149.301573,2045.189815,2486.029357,mt-Nd5,protein_coding,2524.631304,0.342877052,0.078692168,4.357194125,1.32E-05,0.001467031
ENSMUSG00000035781,1013.55375,1087.719226,1067.678622,800.7867969,787.2170189,859.5729448,R3hdm4,protein_coding,936.0880598,0.373522465,0.085987074,4.34393738,1.40E-05,0.001545899
ENSMUSG00000022262,32.58653962,42.99744805,21.67296348,78.97473182,81.87056996,81.95701177,Dnah5,protein_coding,56.67654412,-1.32110102,0.304938641,-4.332350327,1.48E-05,0.00161653
ENSMUSG00000009394,442.7274694,393.9495916,268.0603378,227.5830982,241.6756248,191.2330275,Syn2,protein_coding,294.2048582,0.739932511,0.171007024,4.326912963,1.51E-05,0.001643789
ENSMUSG00000021647,23.59714938,20.91767743,22.81364577,65.38768119,48.80745517,77.07861821,Cartpt,protein_coding,43.10037119,-1.50140119,0.348657777,-4.306231756,1.66E-05,0.001783353
ENSMUSG00000064363,1064.11907,1094.691786,1087.070221,799.0884156,747.0689509,914.2109527,mt-Nd4,protein_coding,951.0415659,0.401562716,0.093268746,4.305437074,1.67E-05,0.001783353
ENSMUSG00000027827,122.480442,139.4511829,123.1936872,211.4484755,203.1019909,222.4547462,Kcnab1,protein_coding,170.3550874,-0.725321669,0.168747849,-4.29825727,1.72E-05,0.00182782
ENSMUSG00000027508,650.6071187,614.7472978,631.9379879,822.0165635,796.6636231,890.7946636,Pag1,protein_coding,734.4612091,-0.402254481,0.093981999,-4.280122653,1.87E-05,0.001968052
ENSMUSG00000026452,258.4449694,244.03957,216.7296348,328.6367873,350.3115734,421.4932034,Syt2,protein_coding,303.2759564,-0.611401168,0.143194202,-4.269734102,1.96E-05,0.00204625
ENSMUSG00000000690,753.9851065,764.6573194,915.9678777,559.6166481,596.7105003,630.2884476,Hoxb6,protein_coding,703.5376499,0.447186438,0.104942135,4.26126681,2.03E-05,0.002109249
ENSMUSG00000028780,1483.24939,1755.922811,1685.928422,2031.26407,2102.656657,2068.438868,Sema3c,protein_coding,1854.576703,-0.332920535,0.078235598,-4.25535875,2.09E-05,0.002140149
ENSMUSG00000028883,1652.924131,1826.810496,1447.525824,1233.024845,1270.568268,1287.895899,Sema3a,protein_coding,1453.124911,0.378040329,0.088853405,4.254652132,2.09E-05,0.002140149
ENSMUSG00000015484,249.4555792,230.0944517,278.3264784,370.2471298,340.0777521,449.787886,Fam163a,protein_coding,319.6648796,-0.611502985,0.143846154,-4.251090256,2.13E-05,0.002158367
ENSMUSG00000042129,107.8726829,133.6407169,78.70707791,218.2420008,189.7193015,174.6464894,Rassf4,protein_coding,150.4713782,-0.865190014,0.203688544,-4.247612542,2.16E-05,0.002176017
ENSMUSG00000020849,3532.830365,3545.546325,3618.244219,2826.955723,2645.8364,3153.393596,Ywhae,protein_coding,3220.467771,0.311101564,0.073291307,4.244726658,2.19E-05,0.002188121
ENSMUSG00000027977,219.1163871,366.059355,284.0298898,467.0548656,469.9685603,424.4202395,Ndst3,protein_coding,371.7748829,-0.648961125,0.153265449,-4.234229754,2.29E-05,0.002276247
ENSMUSG00000019947,286.5368139,261.4709679,240.6839629,368.5487485,359.7581776,477.1068899,Arid5b,protein_coding,332.3509268,-0.609215261,0.144074137,-4.228484552,2.35E-05,0.002301787
ENSMUSG00000031285,16995.56592,17125.76735,17021.26111,13761.13472,12972.54925,15385.4776,Dcx,protein_coding,15543.62599,0.280229562,0.066270756,4.228555354,2.35E-05,0.002301787
ENSMUSG00000037541,1374.253033,1388.701363,1266.15734,1059.78995,1113.124865,944.4569927,Shank2,protein_coding,1191.080591,0.368776516,0.087351178,4.221769243,2.42E-05,0.002354642
ENSMUSG00000042834,3682.278977,3599.002611,3702.654709,2919.517506,2733.217489,3240.229001,Nrep,protein_coding,3312.816716,0.3053872,0.07246107,4.214500315,2.50E-05,0.002414644
