ensembl_id,BR-A-Control,BR-A-Mutant,BR-B-Control,BR-B-Mutant,BR-C-Control,BR-C-Mutant,external_gene_id,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000003949,302,134,337,209,299,201,Hlf,protein_coding,248.2531312,-0.532943173,0.098301747,-5.421502545,5.91E-08,3.50E-05
ENSMUSG00000066800,654,895,656,1017,613,940,Rnasel,protein_coding,787.0512118,0.396456224,0.073757152,5.375156362,7.65E-08,4.32E-05
ENSMUSG00000033060,74,154,62,155,77,157,Lmo7,protein_coding,111.2897578,0.522850242,0.100580968,5.19830193,2.01E-07,0.000108302
ENSMUSG00000024008,57,109,59,162,61,158,Cpne5,protein_coding,99.23557008,0.518168007,0.100020561,5.180614883,2.21E-07,0.000113914
ENSMUSG00000070047,1517,1953,1520,2227,1533,2070,Fat1,protein_coding,1785.885668,0.316965137,0.062335999,5.084784754,3.68E-07,0.000181675
ENSMUSG00000032452,1342,1155,1688,1222,1598,1220,Clstn2,protein_coding,1371.735567,-0.380817514,0.076105194,-5.003830827,5.62E-07,0.00026633
ENSMUSG00000031558,5002,4018,5716,4748,5826,4688,Slit2,protein_coding,4998.095022,-0.340156105,0.069303266,-4.908226217,9.19E-07,0.000418763
ENSMUSG00000039323,92,150,60,163,69,147,Igfbp2,protein_coding,111.5416704,0.469223198,0.100593939,4.664527511,3.09E-06,0.001357258
ENSMUSG00000036800,160,76,192,64,169,124,Fam135b,protein_coding,132.155903,-0.463931132,0.099864158,-4.645622021,3.39E-06,0.001434559
ENSMUSG00000023484,295,281,454,245,428,241,Prph,protein_coding,325.2471998,-0.447460626,0.097381495,-4.594924611,4.33E-06,0.001768495
ENSMUSG00000062078,2933,2502,3060,2788,3193,2670,Qk,protein_coding,2852.373705,-0.272564108,0.060462375,-4.507995414,6.54E-06,0.002584344
ENSMUSG00000029088,70,53,133,34,84,34,Kcnip4,protein_coding,68.76622245,-0.416712616,0.093746634,-4.445094179,8.79E-06,0.003357416
ENSMUSG00000022799,161,57,212,96,130,108,Arhgap31,protein_coding,128.3780215,-0.42909117,0.099212542,-4.324969013,1.53E-05,0.005647809
ENSMUSG00000038331,197,78,247,122,173,146,Satb2,protein_coding,161.647406,-0.432870925,0.100426011,-4.310346717,1.63E-05,0.005851656
ENSMUSG00000033740,1129,771,1058,971,993,851,St18,protein_coding,960.6242871,-0.324104158,0.075833864,-4.27387105,1.92E-05,0.00669384
ENSMUSG00000000120,1138,942,1363,1139,1415,1057,Ngfr,protein_coding,1175.320569,-0.337370399,0.079088547,-4.265730139,1.99E-05,0.006744311
ENSMUSG00000022231,1173,959,1171,763,922,825,Sema5a,protein_coding,968.8782391,-0.351402962,0.084064381,-4.180164732,2.91E-05,0.008974271
ENSMUSG00000026872,871,790,1013,696,873,735,Zeb2,protein_coding,829.6489725,-0.330488986,0.078911599,-4.188091347,2.81E-05,0.008974271
ENSMUSG00000054976,1256,915,1400,1228,1457,1138,Nyap2,protein_coding,1231.914507,-0.337587493,0.080732769,-4.181542378,2.90E-05,0.008974271
ENSMUSG00000062393,142,226,153,290,178,293,Dgkk,protein_coding,211.0553347,0.410601424,0.098301491,4.176960307,2.95E-05,0.008974271
ENSMUSG00000039385,434,368,590,360,491,390,Cdh6,protein_coding,439.7666917,-0.379898284,0.091222774,-4.164511445,3.12E-05,0.009241252
ENSMUSG00000052397,197,82,214,113,129,116,Ezr,protein_coding,142.5881799,-0.417360118,0.100443491,-4.155173354,3.25E-05,0.009392099
ENSMUSG00000030551,636,536,856,708,950,561,Nr2f2,protein_coding,708.207089,-0.375612741,0.09220001,-4.073890451,4.62E-05,0.012270291
ENSMUSG00000031327,1045,916,1054,839,946,799,Chic1,protein_coding,931.6275286,-0.296253085,0.072698597,-4.075086697,4.60E-05,0.012270291
ENSMUSG00000035200,124,61,121,95,150,73,Chrnb4,protein_coding,104.3680491,-0.40867906,0.100362816,-4.072016687,4.66E-05,0.012270291
ENSMUSG00000038156,769,511,622,571,629,530,Spon1,protein_coding,604.4591023,-0.332948702,0.081752334,-4.072650737,4.65E-05,0.012270291
ENSMUSG00000030772,69,61,110,46,102,36,Dkk3,protein_coding,71.15415216,-0.374413943,0.096202575,-3.891932668,9.94E-05,0.025067457
ENSMUSG00000023945,428,330,623,365,580,460,Slc5a7,protein_coding,466.1753966,-0.375870568,0.096801618,-3.882895536,0.00010322,0.025475967
ENSMUSG00000050069,140,103,113,69,141,56,Grem2,protein_coding,103.9530375,-0.384712516,0.099807951,-3.854527732,0.000115953,0.028034654
ENSMUSG00000030306,321,266,411,250,391,308,Tmtc1,protein_coding,325.3804301,-0.360630186,0.094795836,-3.80428298,0.000142216,0.033035831
ENSMUSG00000031561,1003,1295,1101,1543,1103,1468,Tenm3,protein_coding,1240.962559,0.277545325,0.072875801,3.80847035,0.000139829,0.033035831
ENSMUSG00000035133,1030,929,1036,870,1118,925,Arhgap5,protein_coding,983.3946631,-0.272275532,0.071719274,-3.796406716,0.000146809,0.033446945
ENSMUSG00000052534,5652,5318,5612,5643,6030,5020,Pbx1,protein_coding,5526.143686,-0.196220778,0.051836752,-3.785360189,0.000153486,0.034308489
ENSMUSG00000026761,713,715,826,632,852,620,Orc4,protein_coding,725.7556487,-0.302728028,0.080591439,-3.756329838,0.000172423,0.035836845
ENSMUSG00000029765,1687,1565,1846,1669,1927,1575,Plxna4,protein_coding,1707.863414,-0.246451831,0.06543888,-3.766137645,0.000165792,0.035836845
ENSMUSG00000052957,91,59,89,43,83,43,Gas1,protein_coding,68.33930635,-0.369616923,0.098211989,-3.763460313,0.000167578,0.035836845
ENSMUSG00000059921,778,658,1048,734,897,772,Unc5c,protein_coding,815.197611,-0.324027503,0.08623039,-3.757694982,0.000171486,0.035836845
ENSMUSG00000039683,214,142,268,136,165,149,Sdk1,protein_coding,179.6685899,-0.375645389,0.10025288,-3.74697853,0.000178977,0.035938055
ENSMUSG00000043410,235,151,207,122,186,156,Hfm1,protein_coding,176.6346082,-0.372228222,0.099274099,-3.749499883,0.000177188,0.035938055
ENSMUSG00000039058,37,77,45,71,22,95,Ak5,protein_coding,56.9967282,0.344687628,0.093237454,3.696879451,0.000218266,0.043096606
ENSMUSG00000010175,789,559,711,607,580,511,Prox1,protein_coding,624.9731527,-0.312998529,0.085043127,-3.680468253,0.000232806,0.045213987
ENSMUSG00000036510,590,816,641,802,480,780,Cdh8,protein_coding,678.1605662,0.30501778,0.083155778,3.668028713,0.000244428,0.04670541
ENSMUSG00000022114,236,158,184,188,288,145,Spry2,protein_coding,199.8189318,-0.358569987,0.099497425,-3.603811707,0.000313584,0.058968775
ENSMUSG00000042436,136,77,127,121,172,73,Mfap4,protein_coding,117.7949986,-0.360737404,0.100321185,-3.595824806,0.000323365,0.059857963
ENSMUSG00000026452,230,154,210,162,190,141,Syt2,protein_coding,181.1770298,-0.347759098,0.097577503,-3.563927007,0.000365348,0.066588814
ENSMUSG00000027806,1214,972,1170,1033,1079,1026,Tsc22d2,protein_coding,1080.082368,-0.247604672,0.069619293,-3.556552497,0.000375753,0.067342622
ENSMUSG00000036192,100,64,90,56,91,47,Rorb,protein_coding,74.88647451,-0.352784396,0.09929174,-3.553008491,0.000380852,0.067342622
ENSMUSG00000074415,2073,1987,2302,2055,2289,1966,2610203C20Rik,processed_transcript,2106.883978,-0.219898237,0.06235318,-3.52665635,0.000420843,0.073319446
ENSMUSG00000020374,160,111,158,122,157,97,Rasgef1c,protein_coding,134.2468046,-0.349914583,0.099822145,-3.505380325,0.000455955,0.076080339
ENSMUSG00000020961,183,93,164,143,196,132,Ston2,protein_coding,152.098989,-0.35227757,0.10031574,-3.511687879,0.000445271,0.076080339
ENSMUSG00000041124,816,686,831,788,982,744,Msantd4,protein_coding,806.6033584,-0.276767558,0.078904085,-3.50764549,0.000452091,0.076080339
ENSMUSG00000053617,398,361,444,359,442,323,Sh3pxd2a,protein_coding,387.4213798,-0.301252437,0.086218913,-3.494041245,0.000475768,0.078283579
ENSMUSG00000034310,73,65,98,45,109,50,Tmem132d,protein_coding,73.76259339,-0.338940568,0.097611362,-3.472347493,0.000515928,0.083728762
ENSMUSG00000021756,1071,814,1123,1028,1144,1002,Il6st,protein_coding,1028.958365,-0.266955407,0.077813173,-3.430722554,0.000601976,0.089577349
ENSMUSG00000027955,58,20,46,10,22,15,Fam198b,protein_coding,28.81210869,-0.266088875,0.077166001,-3.448265731,0.000564199,0.089577349
ENSMUSG00000028780,1320,1194,1511,1233,1478,1320,Sema3c,protein_coding,1341.256085,-0.25070928,0.072887446,-3.439677126,0.000582409,0.089577349
ENSMUSG00000033953,1412,1384,1467,1268,1420,1186,Ppp3r1,protein_coding,1352.507143,-0.228270839,0.066474868,-3.433941985,0.000594872,0.089577349
ENSMUSG00000038418,678,548,634,667,736,483,Egr1,protein_coding,622.482182,-0.287772209,0.083690488,-3.438529464,0.000584883,0.089577349
ENSMUSG00000047213,1512,1325,1403,1295,1574,1370,Ythdf3,protein_coding,1410.188877,-0.230552488,0.067208691,-3.430396927,0.000602699,0.089577349
ENSMUSG00000092035,1309,1859,1181,1500,1093,1443,Peg10,protein_coding,1383.843092,0.266668236,0.077759214,3.429410123,0.000604895,0.089577349
ENSMUSG00000036198,156,50,272,103,537,67,Arhgap36,protein_coding,200.9274926,-0.21532888,0.062918854,-3.422326794,0.000620876,0.090808924
ENSMUSG00000052125,104,82,122,52,129,83,F730043M19Rik,processed_transcript,95.90818521,-0.339857372,0.099522168,-3.41489116,0.000638075,0.092186279
ENSMUSG00000000078,1343,1374,1410,1310,1612,1107,Klf6,protein_coding,1355.613534,-0.252877364,0.074350904,-3.401133694,0.00067107,0.095568154
ENSMUSG00000008999,31,18,41,21,80,23,Bmp7,protein_coding,36.05899764,-0.277960765,0.081789755,-3.398478983,0.000677617,0.095568154
ENSMUSG00000031714,588,438,508,500,535,429,Gab1,protein_coding,498.4299615,-0.277932466,0.081859457,-3.395239541,0.000685686,0.095568467
ENSMUSG00000075707,21,71,26,64,19,33,Dio3,protein_coding,38.08010712,0.286396801,0.085815065,3.337372087,0.000845746,0.116506485
ENSMUSG00000041046,30,35,14,120,30,55,Ramp3,protein_coding,46.02360079,0.267833387,0.080541151,3.325422874,0.000882845,0.120219164
ENSMUSG00000013584,283,211,675,258,616,170,Aldh1a2,protein_coding,372.9356766,-0.263128339,0.07967518,-3.302513267,0.000958226,0.125542089
ENSMUSG00000020954,1665,1687,1786,1483,1724,1469,Strn3,protein_coding,1631.765676,-0.221814413,0.067184264,-3.301582835,0.000961409,0.125542089
ENSMUSG00000030329,326,410,313,465,234,392,Pianp,protein_coding,352.5599116,0.305570397,0.092601792,3.29983245,0.000967426,0.125542089
ENSMUSG00000042532,245,345,172,349,218,265,Golga7b,protein_coding,262.0496373,0.318585289,0.096470824,3.302400421,0.000958611,0.125542089
ENSMUSG00000063531,31,97,74,83,41,135,Sema3e,protein_coding,76.01707048,0.305412448,0.092737473,3.293301386,0.000990183,0.126136502
ENSMUSG00000030203,146,74,150,110,134,106,Dusp16,protein_coding,120.2912902,-0.330626486,0.100605607,-3.286362427,0.001014903,0.127910213
ENSMUSG00000036760,196,224,143,263,112,236,Kcnk9,protein_coding,193.0823317,0.324581516,0.099986737,3.246245725,0.001169379,0.145827664
ENSMUSG00000062098,345,311,400,361,435,271,Btbd3,protein_coding,353.277868,-0.297699146,0.091968739,-3.23696017,0.001208103,0.149087427
ENSMUSG00000032303,1151,841,1104,1062,1059,987,Chrna3,protein_coding,1031.645625,-0.243655556,0.075535497,-3.225709314,0.001256609,0.152956029
ENSMUSG00000042508,1160,1033,1150,1075,1134,1012,Dmtf1,protein_coding,1090.819991,-0.210426628,0.065274028,-3.223742058,0.001265273,0.152956029
ENSMUSG00000053199,1244,1243,1455,1208,1438,1216,Arhgap20,protein_coding,1298.382483,-0.230344666,0.071567273,-3.21857544,0.001288291,0.154165462
ENSMUSG00000027523,293,210,263,204,259,224,Gnas,protein_coding,242.170257,-0.302493363,0.094111525,-3.214201041,0.001308081,0.154968299
ENSMUSG00000071226,584,360,439,493,499,371,Cecr2,protein_coding,456.3736394,-0.292465938,0.09131176,-3.202938361,0.001360331,0.157998437
ENSMUSG00000031523,438,264,456,430,534,400,Dlc1,protein_coding,420.4630166,-0.307780312,0.096512847,-3.189008746,0.001427616,0.164203513
ENSMUSG00000060969,98,44,110,61,81,71,Irx1,protein_coding,77.909502,-0.312290551,0.098106955,-3.183164247,0.00145675,0.165943382
ENSMUSG00000071723,215,348,257,329,227,324,Gspt2,protein_coding,280.5460612,0.293625925,0.092401482,3.177718794,0.001484386,0.167481202
ENSMUSG00000025812,653,589,736,633,702,595,Pard3,protein_coding,650.1361157,-0.245433076,0.077503301,-3.166743508,0.001541562,0.170681191
ENSMUSG00000079065,1163,1000,1127,920,1035,1014,BC005561,protein_coding,1041.37038,-0.231605777,0.073125901,-3.167219468,0.001539041,0.170681191
ENSMUSG00000035329,373,291,346,293,364,307,Fbxo33,protein_coding,328.7039103,-0.277822825,0.088422965,-3.141975889,0.001678119,0.184080282
ENSMUSG00000021945,2819,2710,2849,2839,2908,2531,Zmym2,protein_coding,2765.360842,-0.168779309,0.054492911,-3.097270926,0.001953113,0.21160545
ENSMUSG00000022485,687,867,658,935,625,759,Hoxc5,protein_coding,747.6226211,0.232983841,0.075269875,3.095313226,0.001966052,0.21160545
ENSMUSG00000029338,55,69,46,111,44,93,Antxr2,protein_coding,68.5803815,0.30058749,0.097272484,3.090159484,0.00200049,0.21160545
ENSMUSG00000039607,2480,2231,2729,2443,2561,2439,Rbms3,protein_coding,2474.604018,-0.197898477,0.063990218,-3.092636386,0.00198387,0.21160545
ENSMUSG00000022858,648,524,618,530,709,618,Tra2b,protein_coding,607.4683817,-0.258645286,0.083862277,-3.084167231,0.002041228,0.21400381
ENSMUSG00000029238,1154,1117,1095,1016,1239,998,Clock,protein_coding,1100.14677,-0.215915954,0.070264826,-3.072888173,0.002119979,0.220310465
ENSMUSG00000022636,1074,1076,1285,819,993,921,Alcam,protein_coding,1027.541862,-0.26357318,0.085996396,-3.064932849,0.002177189,0.224288305
ENSMUSG00000032087,138,214,149,178,78,215,Dscaml1,protein_coding,160.2157182,0.307007244,0.100536338,3.053694308,0.002260423,0.230855427
ENSMUSG00000030603,364,512,369,532,377,446,Psmc4,protein_coding,428.9160506,0.25401124,0.083616546,3.037810719,0.002383036,0.238937742
ENSMUSG00000034997,59,34,52,39,75,33,Htr2a,protein_coding,48.85332458,-0.284502031,0.093664565,-3.037456389,0.002385839,0.238937742
ENSMUSG00000042429,150,91,176,82,119,125,Adora1,protein_coding,124.45457,-0.304251866,0.100225805,-3.035663974,0.002400067,0.238937742
ENSMUSG00000027712,64,51,86,46,79,44,Anxa5,protein_coding,61.93072633,-0.291899787,0.097101392,-3.006133899,0.002645925,0.261218903
ENSMUSG00000049100,1901,2116,1696,2255,1583,2074,Pcdh10,protein_coding,1920.894342,0.193673695,0.064512718,3.002100981,0.002681232,0.262517006
ENSMUSG00000033578,820,986,687,1020,740,877,Tmem35,protein_coding,846.7025989,0.220664271,0.073742709,2.992353721,0.002768353,0.266639659
ENSMUSG00000062822,537,780,483,791,588,594,4833420G17Rik,protein_coding,621.7510669,0.253649044,0.084723563,2.993842985,0.002754877,0.266639659
ENSMUSG00000045613,180,116,159,93,99,85,Chrm2,protein_coding,122.1400446,-0.297915245,0.100004291,-2.979024628,0.002891675,0.276271596
ENSMUSG00000022894,182,245,179,253,96,230,Adamts5,protein_coding,195.030183,0.298623388,0.100518614,2.970826742,0.002969993,0.28148404
ENSMUSG00000034813,954,808,1028,962,969,869,Grip1,protein_coding,929.2492508,-0.217480243,0.073511682,-2.958444655,0.003091958,0.290717631
ENSMUSG00000028519,885,973,1240,793,934,789,Dab1,protein_coding,935.196478,-0.262636147,0.088996044,-2.95109913,0.003166453,0.295377682
ENSMUSG00000053963,186,248,189,235,108,273,6330403A02Rik,protein_coding,204.3703765,0.295476743,0.100351218,2.944426085,0.003235542,0.299464598
ENSMUSG00000021182,774,694,886,791,806,700,Ccdc88c,protein_coding,773.2782806,-0.22476379,0.0765133,-2.937578045,0.003307869,0.303768076
ENSMUSG00000024298,2314,2184,2342,2242,2277,2119,Zfp871,protein_coding,2238.41562,-0.164417994,0.05601593,-2.935200648,0.003333321,0.303768076
ENSMUSG00000026185,2787,3961,2900,4069,1797,4499,Igfbp5,protein_coding,3296.977813,0.293627472,0.100162963,2.931497475,0.003373321,0.305066679
ENSMUSG00000062661,1642,1775,1262,1942,1363,1700,Ncs1,protein_coding,1598.573499,0.210676084,0.072184961,2.918559231,0.003516531,0.315608622
ENSMUSG00000022105,1128,1063,1148,1030,1122,1023,Rb1,protein_coding,1082.647285,-0.193241276,0.066656112,-2.899078104,0.003742617,0.323640714
ENSMUSG00000031647,487,438,509,499,740,470,Mfap3l,protein_coding,523.417401,-0.272247813,0.093763851,-2.903547682,0.003689608,0.323640714
ENSMUSG00000035164,1202,1077,1193,1160,1117,974,Zc3h12c,protein_coding,1116.325928,-0.197473328,0.067983725,-2.904714749,0.003675879,0.323640714
ENSMUSG00000041540,254,252,272,216,313,204,Sox5,protein_coding,251.6311334,-0.276029578,0.095212491,-2.89908998,0.003742475,0.323640714
ENSMUSG00000073678,688,850,683,899,645,811,Pgap1,protein_coding,755.9626952,0.209900301,0.072288734,2.903637809,0.003688546,0.323640714
ENSMUSG00000019920,420,414,453,354,417,318,Lims1,protein_coding,395.2460673,-0.255735438,0.088420049,-2.892278862,0.003824583,0.328332149
ENSMUSG00000047141,530,465,480,421,568,466,Zfp654,protein_coding,487.6545156,-0.244221743,0.084613875,-2.886308457,0.003897899,0.332218798
ENSMUSG00000022788,1469,1284,1402,1202,1293,1298,Fgd4,protein_coding,1321.561344,-0.199909142,0.069707932,-2.867810535,0.00413323,0.3497598
ENSMUSG00000031548,437,621,472,632,488,569,Sfrp1,protein_coding,531.6244407,0.229271273,0.080043416,2.864336457,0.004178839,0.351111371
ENSMUSG00000017291,4082,3950,3817,3841,4091,3661,Taok1,protein_coding,3891.672558,-0.150327556,0.052570299,-2.859552972,0.004242386,0.35146533
ENSMUSG00000028028,59,42,60,29,85,48,Alpk1,protein_coding,54.18918295,-0.266255019,0.093109014,-2.859605176,0.004241687,0.35146533
ENSMUSG00000025813,1223,847,975,925,931,958,Homer2,protein_coding,974.2556129,-0.230957649,0.081021086,-2.850586946,0.004363862,0.359018545
ENSMUSG00000023991,1094,1207,1011,1399,912,1211,Foxp4,protein_coding,1128.620112,0.205366964,0.072273394,2.841529285,0.004489773,0.364170817
ENSMUSG00000032020,320,427,389,476,281,466,Ubash3b,protein_coding,389.6061729,0.261025263,0.091829633,2.842494889,0.004476195,0.364170817
ENSMUSG00000039103,51,38,54,33,108,47,Nexn,protein_coding,55.55708607,-0.25500326,0.089806309,-2.839480477,0.004518706,0.364170817
ENSMUSG00000040818,560,499,609,509,549,501,Dennd6a,protein_coding,536.8165983,-0.227315392,0.08020684,-2.834114798,0.004595282,0.367839912
ENSMUSG00000036158,191,152,210,166,199,155,Prickle1,protein_coding,178.7770457,-0.274930179,0.097401689,-2.822642839,0.00476296,0.378703267
ENSMUSG00000041935,1281,1230,1282,1237,1308,1136,AW549877,protein_coding,1241.292529,-0.177966051,0.063517855,-2.801827154,0.005081409,0.401329686
ENSMUSG00000048249,987,951,956,845,921,795,Crebrf,protein_coding,906.3355951,-0.203671079,0.072940619,-2.792286136,0.005233705,0.410620566
ENSMUSG00000045193,412,628,411,611,470,483,Cirbp,protein_coding,497.1992811,0.239002422,0.08581128,2.785209853,0.005349309,0.416929369
ENSMUSG00000050558,39,116,78,82,65,133,Prokr2,protein_coding,84.71955681,0.266784621,0.09596105,2.780134433,0.00543364,0.420734198
ENSMUSG00000046387,369,326,455,348,392,351,Pcdhb17,protein_coding,373.2534955,-0.249076214,0.089737799,-2.77559976,0.005509999,0.423876371
ENSMUSG00000038268,42,68,15,56,40,76,Ovca2,protein_coding,48.77581055,0.244615299,0.088359497,2.768409813,0.005633057,0.430547295
ENSMUSG00000028967,701,663,697,639,722,610,Errfi1,protein_coding,670.1114938,-0.205321381,0.074404194,-2.759540401,0.005788273,0.436774967
ENSMUSG00000030067,2808,2766,2889,3021,3319,2600,Foxp1,protein_coding,2889.657656,-0.178721874,0.06476359,-2.759604171,0.005787143,0.436774967
ENSMUSG00000025870,171,199,112,219,128,195,Arl10,protein_coding,168.5581006,0.274516126,0.099591168,2.756430432,0.005843604,0.436915331
ENSMUSG00000026568,137,167,122,212,124,187,Mpc2,protein_coding,156.3514845,0.272264285,0.099175155,2.745287215,0.006045796,0.436915331
ENSMUSG00000034037,235,210,360,161,228,237,Fgd5,protein_coding,239.4374983,-0.27655345,0.100500569,-2.751760032,0.005927594,0.436915331
ENSMUSG00000034297,3958,3970,4129,3832,4041,3790,Med13,protein_coding,3939.777073,-0.148663784,0.054155033,-2.74515177,0.006048292,0.436915331
ENSMUSG00000046574,597,742,580,877,634,706,Prr12,protein_coding,682.6378508,0.213875691,0.077884186,2.746073408,0.006031327,0.436915331
ENSMUSG00000049630,185,191,210,179,258,132,C1ql3,protein_coding,192.2769529,-0.273868733,0.099583423,-2.750143793,0.005956912,0.436915331
ENSMUSG00000069804,70,122,78,91,59,133,Gm10277,protein_coding,91.27553284,0.273410657,0.099420007,2.750056709,0.005958495,0.436915331
ENSMUSG00000027365,1055,969,1053,978,1086,993,Trpm7,protein_coding,1019.564625,-0.186561613,0.068159366,-2.737138335,0.006197623,0.442308639
ENSMUSG00000029778,1151,988,1046,971,914,830,Adcyap1r1,protein_coding,979.7650332,-0.210058154,0.076719759,-2.737992893,0.006181541,0.442308639
ENSMUSG00000071654,81,127,64,150,93,107,Uqcc3,protein_coding,102.1375901,0.274359352,0.100375483,2.73333033,0.006269742,0.444776227
ENSMUSG00000009734,172,294,160,280,203,204,Pou6f2,protein_coding,216.048702,0.267754566,0.098192245,2.72684026,0.006394399,0.445614359
ENSMUSG00000012422,1254,1254,1230,1195,1305,1052,Tmem167,protein_coding,1210.454248,-0.184274163,0.067542021,-2.728289143,0.006366378,0.445614359
ENSMUSG00000062760,268,359,294,474,343,416,1810041L15Rik,protein_coding,355.4420438,0.253662025,0.092959701,2.728731076,0.006357853,0.445614359
ENSMUSG00000013622,241,328,221,343,241,288,Atraid,protein_coding,274.0472339,0.248113265,0.091440929,2.71337209,0.006660227,0.445783702
ENSMUSG00000022055,2591,2523,2985,2642,2894,2695,Nefl,protein_coding,2715.161798,-0.178935918,0.06587393,-2.716338877,0.006600832,0.445783702
ENSMUSG00000022489,363,466,337,497,371,441,Pde1b,protein_coding,408.5564238,0.227773074,0.083915519,2.714314076,0.006641317,0.445783702
ENSMUSG00000022952,25,73,62,79,30,78,Runx1,protein_coding,57.06622215,0.247620306,0.091077143,2.718797481,0.006551971,0.445783702
ENSMUSG00000028842,1219,1164,1222,1028,1262,1172,Ago3,protein_coding,1175.568429,-0.19693884,0.07237652,-2.721032172,0.006507843,0.445783702
ENSMUSG00000031227,1451,1688,1315,1694,1264,1557,Magee1,protein_coding,1482.352953,0.174425434,0.064186223,2.717490256,0.006577909,0.445783702
ENSMUSG00000036295,1300,1335,1376,1308,1532,1226,Lrrn3,protein_coding,1342.060181,-0.18829234,0.069255696,-2.718799316,0.006551935,0.445783702
ENSMUSG00000028228,145,148,171,140,222,117,Cpne3,protein_coding,157.1560598,-0.271338512,0.100371992,-2.703328945,0.006864877,0.447132699
ENSMUSG00000035236,1939,2076,2189,1842,2151,1880,Scai,protein_coding,2007.703083,-0.183632005,0.06793323,-2.703124871,0.006869094,0.447132699
ENSMUSG00000055320,499,347,508,355,409,462,Tead1,protein_coding,430.3050531,-0.254180406,0.093870371,-2.707780983,0.006773471,0.447132699
ENSMUSG00000062949,854,826,945,744,862,817,Atp11c,protein_coding,839.9356358,-0.207458243,0.076682868,-2.705405358,0.006822108,0.447132699
ENSMUSG00000073542,197,171,207,182,223,150,Cep76,protein_coding,188.0601646,-0.262566364,0.097086128,-2.704468388,0.006841378,0.447132699
ENSMUSG00000032870,705,801,655,905,665,844,Smap2,protein_coding,756.0262558,0.198835585,0.073634552,2.700302786,0.00692764,0.448061788
ENSMUSG00000064181,457,415,486,434,451,372,Rab3ip,protein_coding,434.6540331,-0.2253117,0.083485897,-2.698799536,0.006959008,0.448061788
ENSMUSG00000007617,1046,968,981,946,1012,897,Homer1,protein_coding,971.6676198,-0.181670785,0.067561728,-2.688960001,0.007167501,0.44944289
ENSMUSG00000020063,554,566,614,562,707,515,Sirt1,protein_coding,585.017097,-0.224613122,0.083424097,-2.692424963,0.00709345,0.44944289
